지역,umdNm,aptNm,kaptCode,matchType,세대수,시공사,동수,사용승인일
서울 강동구,고덕동,래미안힐스테이트고덕,A10027207,exact,3658.0,"삼성, 현대",51,20161229
서울 강동구,상일동,중앙하이츠,A13483803,contains,410.0,중앙개발,5,19920509
서울 강동구,암사동,힐스테이트 강동 리버뷰,A10025174,exact,460.0,현대엔지니어링,5,20191112
서울 강동구,암사동,한강현대,A13471501,contains,417.0,현대건설주식회사,3,19990531
서울 강동구,천호동,래미안강동팰리스,A10026852,exact,999.0,삼성물산,3,20170731
서울 강동구,천호동,힐데스하임천호아파트,A10023695,exact,188.0,(주)원건설,2,20230511
서울 강동구,성내동,코오롱(1차),A13484102,dedong,257.0,코오롱건설,2,19990518
서울 강동구,강일동,강일리버파크5단지,A13410009,exact,722.0,KR산업,9,20090713
서울 강동구,강일동,강동리버스트4단지,A10024468,exact,1239.0,두산건설,10,20200828
서울 강동구,강일동,강일리버파크1단지,A13410001,exact,282.0,삼환기업,7,20090311
서울 강동구,천호동,천호태영아파트,A13402002,exact,385.0,태영건설,5,19991120
경기 수원시 장안구,정자동,화서역파크푸르지오,A10024170,exact,2355.0,대우건설,14,20210823
경기 수원시 영통구,원천동,광교호반베르디움,A44377204,exact,1330.0,호반건설,10,20140602
경기 성남시 수정구,신흥동,산성역자이푸르지오1단지,A10022845,exact,1852.0,GS건설,13,20240327
경기 성남시 수정구,신흥동,산성역포레스티아,A10024631,exact,4089.0,"현대산업개발,포스코건설,롯데건설",39,20200730
경기 성남시 수정구,신흥동,산성역자이푸르지오2단지,A10022853,exact,1270.0,GS건설,10,20240327
경기 성남시 수정구,신흥동,산성역자이푸르지오3단지,A10022854,exact,840.0,GS건설,5,20240327
경기 성남시 수정구,단대동,단대푸르지오,A46170401,contains,1015.0,대우건설,13,20120907
경기 성남시 중원구,중앙동,신흥역하늘채랜더스원1단지,A10023626,exact,1267.0,코오롱글로벌주식회사,14,20220920
경기 성남시 중원구,금광동,e편한세상금빛그랑메종1단지,A10023503,exact,1135.0,디엘이앤씨,9,20230629
경기 성남시 중원구,중앙동,신흥역하늘채랜더스원2단지,A10023634,exact,332.0,코오롱글로벌(주),3,20220920
경기 성남시 중원구,금광동,e편한세상금빛그랑메종4단지,A10023504,exact,948.0,DLE&C,8,20230629
경기 성남시 중원구,여수동,산들마을2단지,A10027842,contains,1171.0,KR건설,16,20151008
경기 성남시 중원구,중앙동,신흥역하늘채랜더스원3단지,A10023567,exact,400.0,코오롱글로벌,4,20220920
경기 성남시 중원구,금광동,e편한세상금빛그랑메종3단지,A10023498,exact,784.0,대림건설,6,20230629
경기 성남시 중원구,금광동,e편한세상금빛그랑메종2단지,,no_match,,,,
경기 성남시 중원구,금광동,e편한세상금빛그랑메종5단지,A10023525,exact,1102.0,대림건설,8,20230629
경기 성남시 분당구,야탑동,장미마을(동부),A46378823,contains,1134.0,동부건설(주),21,19930224
경기 성남시 분당구,구미동,무지개(4단지)(주공),,no_match,,,,
경기 성남시 분당구,운중동,산운마을11단지(판교포레라움),A46379102,exact,504.0,한보건설,10,20090723
경기 성남시 분당구,금곡동,청솔마을(한라),A46372509,contains,768.0,한라건설,10,19951202
경기 성남시 분당구,금곡동,청솔마을(공무원),,no_match,,,,
경기 성남시 분당구,구미동,무지개(5단지)(청구),,no_match,,,,
경기 성남시 분당구,운중동,산운마을12단지판교센트럴포레와이시티,,no_match,,,,
경기 성남시 분당구,구미동,까치마을(2단지)(주공),A46374012,exact,768.0,대한주택공사,9,19950424
경기 성남시 분당구,판교동,판교원마을6단지(판교대광로제비앙),A46341004,contains,470.0,대광건영,6,20090525
경기 성남시 분당구,야탑동,탑마을(벽산),A46392716,contains,646.0,벽산건설,12,19940224
경기 성남시 분당구,분당동,샛별마을(라이프),A46374805,contains,796.0,라이프주택개발(주),9,19920609
경기 성남시 분당구,정자동,한솔마을(6단지)(주공),,no_match,,,,
경기 성남시 분당구,수내동,푸른마을(신성),A46377908,contains,2598.0,"쌍용,신성,벽산",50,19920605
경기 성남시 분당구,구미동,까치마을(3단지)(신원),,no_match,,,,
경기 성남시 분당구,수내동,"양지마을(6단지)(금호,청구)",,no_match,,,,
경기 성남시 분당구,이매동,아름마을(한성),A46380601,contains,240.0,한성,8,19921130
경기 성남시 분당구,야탑동,탑마을(경남)1,A46392320,contains,884.0,경남,16,19940224
경기 성남시 분당구,수내동,푸른마을(벽산),,no_match,,,,
경기 성남시 분당구,수내동,양지마을(6단지)(한양603동),,no_match,,,,
경기 성남시 분당구,분당동,샛별마을(동성),A46374703,contains,582.0,동성건설,9,19920630
경기 성남시 분당구,야탑동,장미마을(현대),A46379226,contains,2136.0,현대산업개발,25,19930428
경기 성남시 분당구,야탑동,매화마을공무원2,,no_match,,,,
경기 성남시 분당구,이매동,아름마을(삼호),,no_match,,,,
경기 성남시 분당구,수내동,파크타운(서안),A10026318,contains,3028.0,"대림, 서안, 삼익, 롯데",41,19930527
경기 성남시 분당구,수내동,파크타운(대림),A10026318,contains,3028.0,"대림, 서안, 삼익, 롯데",41,19930527
