지역,umdNm,aptNm,buildYear,addr_display,lat,lon,match_query
경기 성남시 중원구,금광동,e편한세상금빛그랑메종4단지,2023,금광로,37.4439413,127.1637913,대한민국 경기 성남시 중원구 금광동 금광로
경기 성남시 중원구,금광동,e편한세상금빛그랑메종5단지,2023,금광로,37.4439413,127.1637913,대한민국 경기 성남시 중원구 금광동 금광로
경기 성남시 중원구,여수동,산들마을2단지,2015,여수울로,37.4187789,127.1332136,대한민국 경기 성남시 중원구 여수동 여수울로
경기 성남시 중원구,중앙동,신흥역하늘채랜더스원1단지,2022,광명로,37.4401028,127.1490979,대한민국 경기 성남시 중원구 중앙동 광명로
경기 성남시 중원구,중앙동,신흥역하늘채랜더스원2단지,2022,광명로,37.4401028,127.1490979,대한민국 경기 성남시 중원구 중앙동 광명로
경기 성남시 중원구,중앙동,신흥역하늘채랜더스원3단지,2022,광명로,37.4401028,127.1490979,대한민국 경기 성남시 중원구 중앙동 광명로
경기 수원시 영통구,원천동,광교호반베르디움,2014,광교호수공원로,37.2794395,127.0597489,대한민국 경기 수원시 영통구 원천동 광교호수공원로
경기 수원시 장안구,정자동,화서역파크푸르지오,2021,대평로,37.2963874,126.9925667,대한민국 경기 수원시 장안구 정자동 대평로
경기 안양시 동안구,관양동,인덕원마을(삼성),1998,안양판교로,37.4043622,126.96415,대한민국 경기 안양시 동안구 관양동
경기 안양시 동안구,관양동,평촌더샵센트럴시티,2016,시민대로327번길,37.4043622,126.96415,대한민국 경기 안양시 동안구 관양동
경기 안양시 동안구,비산동,평촌래미안푸르지오,2022,경수대로884번길,37.4011874,126.9428157,대한민국 경기 안양시 동안구 비산동
경기 안양시 동안구,평촌동,인덕원대우,2001,학의로,37.3952226,126.9806939,대한민국 경기 안양시 동안구 평촌동 학의로
경기 안양시 동안구,평촌동,향촌롯데,1993,평촌대로180번길,37.3886424,126.9599778,대한민국 경기 안양시 동안구 평촌동 평촌대로180번길
경기 안양시 동안구,평촌동,향촌마을현대4차,1992,귀인로,37.3870575,126.9656233,대한민국 경기 안양시 동안구 평촌동 귀인로
경기 안양시 동안구,평촌동,향촌마을현대5차,1993,귀인로,37.3870575,126.9656233,대한민국 경기 안양시 동안구 평촌동 귀인로
경기 안양시 동안구,호계동,평촌센텀퍼스트,2023,갈산로,37.3779842,126.9543224,대한민국 경기 안양시 동안구 호계동
경기 안양시 동안구,호계동,평촌트리지아,2024,귀인로98번길,37.3806694,126.9511839,대한민국 경기 안양시 동안구 호계동 귀인로98번길
경기 용인시 기흥구,마북동,e편한세상구성역플랫폼시티,2024,구성로,37.294616,127.1132097,대한민국 경기 용인시 기흥구 마북동 구성로
경기 용인시 수지구,동천동,동천센트럴자이,2019,고기로45번길,37.3414641,127.0956336,대한민국 경기 용인시 수지구 동천동 고기로45번길
경기 용인시 수지구,상현동,광교자이더클래스,2012,광교마을로,37.2990111,127.0673935,대한민국 경기 용인시 수지구 상현동 광교마을로
경기 용인시 수지구,풍덕천동,수지파크푸르지오,2019,풍덕천로171번길,37.3261591,127.0999978,대한민국 경기 용인시 수지구 풍덕천동 풍덕천로171번길
경기 용인시 수지구,풍덕천동,신정7단지(상록)공무원,2000,풍덕천로,37.3258899,127.1004363,대한민국 경기 용인시 수지구 풍덕천동 풍덕천로
경기 용인시 수지구,풍덕천동,신정마을주공1,2000,풍덕천로,37.3258899,127.1004363,대한민국 경기 용인시 수지구 풍덕천동 풍덕천로
경기 용인시 수지구,풍덕천동,용인수지신정마을9단지,2000,풍덕천로,37.3258899,127.1004363,대한민국 경기 용인시 수지구 풍덕천동 풍덕천로
경기 용인시 수지구,풍덕천동,한성,1995,문정로,37.3220791,127.0965025,대한민국 경기 용인시 수지구 풍덕천동 문정로
경기 용인시 수지구,풍덕천동,현대성우8차,1999,풍덕천로,37.3258899,127.1004363,대한민국 경기 용인시 수지구 풍덕천동 풍덕천로
경기 하남시,감이동,감일센트레빌,2020,감일백제로,37.501366,127.1633044,대한민국 경기 하남시 감이동 감일백제로
